ratio,layout_index,minority_position,n_entities
2:1,1,first,25
2:1,1,last,21
2:1,1,middle,29
3:1,1,first,22
3:1,1,last,20
3:1,1,middle,33
4:1,1,first,15
4:1,1,last,11
4:1,1,middle,49
