domain,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
general,2:1,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:1,gemini-3.5-flash,standard,1,1.0,is_flag,23,22,5,0.22727272727272727,22.727272727272727,0.10123039985248736,0.43439953175221113,10.123039985248736,43.43995317522111
general,2:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,19,0,0.0,0.0,0.0,0.16817922405260854,0.0,16.817922405260855
general,2:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,21,4,0.19047619047619047,19.047619047619047,0.07667565052761979,0.4000056469020429,7.667565052761979,40.000564690204286
general,2:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,20,10,0.5,50.0,0.29929800819821695,0.700701991801783,29.929800819821693,70.0701991801783
general,2:2,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:2,gemini-3.5-flash,standard,1,1.0,is_flag,23,23,22,0.9565217391304348,95.65217391304348,0.7900884492974176,0.9922833338565464,79.00884492974176,99.22833338565465
general,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,3:1,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,3:1,gemini-3.5-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,3:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,3:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,3:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
