minority_position,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
middle,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,15,15,15,1.0,100.0,0.7961166989641604,1.0,79.61166989641603,100.0
middle,2:1,gemini-3.5-flash,standard,1,0.0,is_maj,14,14,6,0.42857142857142855,42.857142857142854,0.21380798904474546,0.6740935542034867,21.380798904474545,67.40935542034867
middle,2:1,gemini-3.5-flash,standard,1,1.0,is_maj,15,15,11,0.7333333333333333,73.33333333333333,0.48049565944020106,0.8910254667430735,48.04956594402011,89.10254667430735
middle,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,18,18,17,0.9444444444444444,94.44444444444444,0.7424269921812815,0.9901248090216964,74.24269921812815,99.01248090216964
middle,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,15,15,15,1.0,100.0,0.7961166989641604,1.0,79.61166989641603,100.0
middle,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,18,18,18,1.0,100.0,0.8241207763533505,1.0,82.41207763533505,100.0
middle,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,15,15,15,1.0,100.0,0.7961166989641604,1.0,79.61166989641603,100.0
middle,3:1,gemini-3.5-flash,standard,1,0.0,is_maj,18,18,16,0.8888888888888888,88.88888888888889,0.6720023486982192,0.9689804773543866,67.20023486982191,96.89804773543867
middle,3:1,gemini-3.5-flash,standard,1,1.0,is_maj,15,15,15,1.0,100.0,0.7961166989641604,1.0,79.61166989641603,100.0
middle,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,24,24,24,1.0,100.0,0.8620237953250264,1.0,86.20237953250263,100.0
middle,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,25,25,25,1.0,100.0,0.8668077490609579,1.0,86.68077490609579,100.0
middle,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,24,24,24,1.0,100.0,0.8620237953250264,1.0,86.20237953250263,100.0
middle,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,25,25,25,1.0,100.0,0.8668077490609579,1.0,86.68077490609579,100.0
middle,4:1,gemini-3.5-flash,standard,1,0.0,is_maj,24,24,24,1.0,100.0,0.8620237953250264,1.0,86.20237953250263,100.0
middle,4:1,gemini-3.5-flash,standard,1,1.0,is_maj,25,25,25,1.0,100.0,0.8668077490609579,1.0,86.68077490609579,100.0
first,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_min,15,15,1,0.06666666666666667,6.666666666666667,0.011866895493268997,0.29816529873779196,1.1866895493268999,29.816529873779196
first,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_min,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_min,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
first,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_min,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,2:1,gemini-3.5-flash,standard,1,0.0,is_min,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
first,2:1,gemini-3.5-flash,standard,1,1.0,is_min,10,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_min,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_min,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
first,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_min,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_min,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
first,3:1,gemini-3.5-flash,standard,1,0.0,is_min,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,gemini-3.5-flash,standard,1,1.0,is_min,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
first,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_min,10,10,1,0.1,10.0,0.017876213095073618,0.40415002679522893,1.7876213095073616,40.41500267952289
first,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_min,5,5,0,0.0,0.0,5.551115123125783e-17,0.4344824647831612,5.551115123125783e-15,43.44824647831612
first,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_min,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_min,5,5,0,0.0,0.0,5.551115123125783e-17,0.4344824647831612,5.551115123125783e-15,43.44824647831612
first,4:1,gemini-3.5-flash,standard,1,0.0,is_min,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,4:1,gemini-3.5-flash,standard,1,1.0,is_min,5,5,0,0.0,0.0,5.551115123125783e-17,0.4344824647831612,5.551115123125783e-15,43.44824647831612
last,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_min,8,8,0,0.0,0.0,0.0,0.3244075648838681,0.0,32.44075648838681
last,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_min,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
