model_id,ratio,strategy,layout_index,outcome,n_answer_only,events_answer_only,rate_answer_only,rate_answer_only_percent,n_requested,events_requested,rate_requested,rate_requested_percent,absolute_difference,difference_percentage_points,ci95_low,ci95_high,ci95_low_percentage_points,ci95_high_percentage_points,ci_method,estimand_role
anthropic/claude-haiku-4.5,2:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
anthropic/claude-haiku-4.5,2:2,standard,1,is_flag,33,0,0.0,0.0,36,4,0.1111111111111111,11.11111111111111,0.1111111111111111,11.11111111111111,-0.012853501874944634,0.25314808590364374,-1.2853501874944633,25.314808590364375,Newcombe hybrid score interval for two independent proportions,primary
anthropic/claude-haiku-4.5,3:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
anthropic/claude-haiku-4.5,3:2,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
anthropic/claude-haiku-4.5,4:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
deepseek/deepseek-v4-flash,2:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
deepseek/deepseek-v4-flash,2:2,standard,1,is_flag,37,0,0.0,0.0,34,13,0.38235294117647056,38.23529411764706,0.38235294117647056,38.23529411764706,0.21089911431228447,0.5495898265556887,21.089911431228447,54.95898265556887,Newcombe hybrid score interval for two independent proportions,primary
deepseek/deepseek-v4-flash,3:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
deepseek/deepseek-v4-flash,3:2,standard,1,is_flag,37,0,0.0,0.0,38,1,0.02631578947368421,2.631578947368421,0.02631578947368421,2.631578947368421,-0.07020271841830486,0.13494876115951676,-7.020271841830486,13.494876115951676,Newcombe hybrid score interval for two independent proportions,primary
deepseek/deepseek-v4-flash,4:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
